Date,Open,High,Low,Close,Volume,Adj Close
2017-02-21,848.840027,857.97998,847.25,856.440002,3490100,856.440002
2017-02-17,842.00,847.27002,840.72998,845.070007,3029800,845.070007
2017-02-16,841.840027,845.00,839.380005,844.140015,2708100,844.140015
2017-02-15,834.00,842.809998,832.820007,842.700012,2950600,842.700012
2017-02-14,837.00,838.309998,831.450012,836.390015,2787900,836.390015
2017-02-13,831.619995,843.00,828.549988,836.530029,4156500,836.530029
2017-02-10,823.820007,828.00,822.849976,827.460022,2425800,827.460022
2017-02-09,821.599976,825.00,819.710022,821.359985,2468400,821.359985
2017-02-08,812.690002,821.47998,812.50,819.710022,2848300,819.710022
2017-02-07,809.309998,816.159973,807.50,812.50,3461500,812.50
2017-02-06,809.799988,810.719971,803.00,807.640015,3897300,807.640015
2017-02-03,806.719971,818.299988,804.00,810.200012,10868800,810.200012
2017-02-02,836.590027,842.48999,828.26001,839.950012,6541700,839.950012
2017-02-01,829.210022,833.780029,824.940002,832.349976,3797000,832.349976
2017-01-31,823.75,826.98999,819.559998,823.47998,3112600,823.47998
2017-01-30,833.00,833.50,816.380005,830.380005,3677100,830.380005
2017-01-27,839.00,839.700012,829.440002,835.77002,2992200,835.77002
2017-01-26,835.530029,843.840027,833.00,839.150024,3554700,839.150024
2017-01-25,825.789978,837.419983,825.289978,836.52002,3922600,836.52002
2017-01-24,822.00,823.98999,814.50,822.440002,2965900,822.440002
2017-01-23,806.799988,818.50,805.080017,817.880005,2680900,817.880005
2017-01-20,815.280029,816.02002,806.26001,808.330017,3338200,808.330017
2017-01-19,810.00,813.51001,807.320007,809.039978,2529100,809.039978
2017-01-18,809.50,811.72998,804.27002,807.47998,2354200,807.47998
2017-01-17,815.700012,816.00,803.440002,809.719971,3670500,809.719971
2017-01-13,814.320007,821.650024,811.400024,817.140015,3791900,817.140015
2017-01-12,800.309998,814.130005,799.50,813.640015,4873900,813.640015
2017-01-11,793.659973,799.50,789.51001,799.02002,2992800,799.02002
2017-01-10,796.599976,798.00,789.539978,795.900024,2558400,795.900024
2017-01-09,798.00,801.77002,791.77002,796.919983,3440100,796.919983
2017-01-06,782.359985,799.440002,778.47998,795.98999,5986200,795.98999
2017-01-05,761.549988,782.400024,760.26001,780.450012,5830100,780.450012
2017-01-04,758.390015,759.679993,754.200012,757.179993,2510500,757.179993
2017-01-03,757.919983,758.76001,747.700012,753.669983,3521100,753.669983
2016-12-30,766.469971,767.400024,748.280029,749.869995,4139400,749.869995
2016-12-29,772.400024,773.400024,760.849976,765.150024,3158300,765.150024
2016-12-28,776.25,780.00,770.50,772.130005,3301000,772.130005
2016-12-27,763.400024,774.650024,761.200012,771.400024,2638700,771.400024
2016-12-23,764.549988,766.50,757.98999,760.590027,1981600,760.590027
2016-12-22,768.119995,771.210022,763.02002,766.340027,2543600,766.340027
2016-12-21,770.00,771.219971,765.700012,770.599976,2044600,770.599976
2016-12-20,768.650024,774.390015,767.710022,771.219971,2703600,771.219971
2016-12-19,758.890015,770.50,756.159973,766.00,3113200,766.00
2016-12-16,765.00,765.130005,754.00,757.77002,4848200,757.77002
2016-12-15,766.280029,769.099976,760.309998,761.00,3801900,761.00
2016-12-14,778.25,780.859985,762.809998,768.820007,5454800,768.820007
2016-12-13,764.960022,782.460022,762.00,774.340027,5285300,774.340027
2016-12-12,766.400024,766.890015,757.200012,760.119995,2963900,760.119995
2016-12-09,770.00,770.25,765.340027,768.659973,2470900,768.659973
2016-12-08,771.869995,773.789978,765.190002,767.330017,3189600,767.330017
2016-12-07,764.549988,770.419983,755.820007,770.419983,3684900,770.419983
2016-12-06,763.98999,768.23999,757.25,764.719971,3794700,764.719971
2016-12-05,745.00,761.48999,742.00,759.359985,4314700,759.359985
2016-12-02,743.400024,748.48999,736.700012,740.340027,3561300,740.340027
2016-12-01,752.409973,753.369995,738.030029,743.650024,4666000,743.650024
2016-11-30,762.00,768.090027,750.25,750.570007,4625900,750.570007
2016-11-29,768.00,769.890015,761.320007,762.52002,3272300,762.52002
2016-11-28,776.98999,777.00,764.23999,766.77002,4438800,766.77002
2016-11-25,786.50,786.75,777.900024,780.369995,1837100,780.369995
2016-11-23,781.72998,781.75,773.119995,780.119995,3540300,780.119995
2016-11-22,788.169983,792.400024,781.00,785.330017,5311300,785.330017
2016-11-21,766.00,780.349976,765.109985,780.00,4614600,780.00
2016-11-18,761.00,767.73999,757.640015,760.159973,4373400,760.159973
2016-11-17,749.320007,757.50,748.00,756.400024,3690100,756.400024
2016-11-16,739.880005,749.869995,735.609985,746.48999,3648800,746.48999
2016-11-15,730.00,746.780029,725.98999,743.23999,6755800,743.23999
2016-11-14,745.51001,746.00,710.099976,719.070007,7321300,719.070007
2016-11-11,735.72998,743.26001,728.900024,739.01001,6622800,739.01001
2016-11-10,778.809998,778.830017,717.700012,742.380005,12747000,742.380005
2016-11-09,764.00,777.50,760.090027,771.880005,8562900,771.880005
2016-11-08,784.969971,791.73999,779.099976,787.75,3412600,787.75
2016-11-07,771.640015,787.72998,770.940002,784.929993,5984400,784.929993
2016-11-04,762.789978,766.00,753.22998,755.049988,5122100,755.049988
2016-11-03,765.049988,777.00,764.00,767.030029,3872500,767.030029
2016-11-02,783.929993,784.75,763.549988,765.559998,5026500,765.559998
2016-11-01,799.00,800.840027,776.710022,785.409973,5305400,785.409973
2016-10-31,781.030029,793.700012,780.109985,789.820007,5413300,789.820007
2016-10-28,782.00,789.48999,774.609985,776.320007,10841100,776.320007
2016-10-27,831.23999,831.719971,815.429993,818.359985,7406400,818.359985
2016-10-26,832.76001,833.440002,820.00,822.590027,3998100,822.590027
2016-10-25,839.299988,843.090027,833.219971,835.179993,3248400,835.179993
2016-10-24,824.950012,838.299988,822.210022,838.090027,4060900,838.090027
2016-10-21,809.359985,819.419983,809.00,818.98999,2793000,818.98999
2016-10-20,813.98999,815.710022,803.099976,810.320007,3152000,810.320007
2016-10-19,820.400024,820.669983,815.169983,817.690002,2090700,817.690002
2016-10-18,822.109985,823.26001,815.02002,817.650024,2512500,817.650024
2016-10-17,821.50,822.00,811.679993,812.950012,3361500,812.950012
2016-10-14,835.080017,835.73999,822.960022,822.960022,2999800,822.960022
2016-10-13,829.00,831.799988,821.210022,829.280029,3091400,829.280029
2016-10-12,834.00,837.669983,830.099976,834.090027,2380400,834.090027
2016-10-11,841.02002,841.289978,828.349976,831.00,3588200,831.00
2016-10-10,843.25,845.200012,840.27002,841.710022,1827100,841.710022
2016-10-07,845.789978,845.950012,837.450012,839.429993,2426200,839.429993
2016-10-06,843.700012,847.210022,840.599976,841.659973,2684000,841.659973
2016-10-05,838.00,845.669983,836.119995,844.359985,3469100,844.359985
2016-10-04,840.909973,842.369995,830.26001,834.030029,2950300,834.030029
2016-10-03,836.00,839.859985,831.25,836.73999,2769400,836.73999
2016-09-30,832.609985,839.950012,832.400024,837.309998,4430600,837.309998
2016-09-29,828.26001,837.50,824.630005,829.049988,4922200,829.049988
2016-09-28,818.00,830.140015,817.030029,828.719971,4422100,828.719971
2016-09-27,801.849976,816.640015,801.109985,816.109985,3819600,816.109985
2016-09-26,801.799988,805.929993,797.150024,799.159973,2651400,799.159973
2016-09-23,803.130005,807.75,802.119995,805.75,2353500,805.75
2016-09-22,794.27002,805.890015,794.27002,804.700012,4078900,804.700012
2016-09-21,783.25,790.690002,779.01001,789.73999,2718600,789.73999
2016-09-20,776.00,781.369995,776.00,780.219971,1937200,780.219971
2016-09-19,779.969971,781.940002,771.00,775.099976,2297200,775.099976
2016-09-16,773.280029,780.460022,771.659973,778.52002,5499200,778.52002
2016-09-15,762.00,770.869995,757.580017,769.690002,3034000,769.690002
2016-09-14,762.200012,767.50,758.849976,761.090027,2523000,761.090027
2016-09-13,768.77002,769.890015,759.049988,761.01001,3117200,761.01001
2016-09-12,757.349976,772.659973,756.00,771.48999,3124700,771.48999
2016-09-09,779.359985,781.00,760.109985,760.140015,4257300,760.140015
2016-09-08,783.890015,786.50,781.440002,784.059998,2030500,784.059998
2016-09-07,789.530029,790.789978,784.330017,784.47998,2424600,784.47998
2016-09-06,774.039978,789.47998,770.219971,788.869995,3719800,788.869995
